feature,tophat2,hisat2,hisat2/tophat2
FBgn0000008,10,8,0.8
FBgn0000014,2,2,1
FBgn0000015,3,2,0.6666666666666666
FBgn0000017,20,17,0.85
FBgn0000024,1,1,1
FBgn0000032,13,12,0.9230769230769231
FBgn0000036,1,1,1
FBgn0000037,1,1,1
FBgn0000038,3,1,0.3333333333333333
FBgn0000039,1,1,1
FBgn0000042,287,270,0.9407665505226481
FBgn0000043,36,35,0.9722222222222222
FBgn0000044,194,178,0.9175257731958762
FBgn0000045,100,99,0.99
FBgn0000046,97,93,0.9587628865979382
FBgn0000047,292,280,0.958904109589041
FBgn0000052,15,14,0.9333333333333333
FBgn0000053,17,13,0.7647058823529411
FBgn0000057,6,6,1
FBgn0000061,2,1,0.5
FBgn0000063,14,11,0.7857142857142857
FBgn0000064,348,316,0.9080459770114943
FBgn0000071,1,1,1
FBgn0000075,2,2,1
FBgn0000077,2,2,1
FBgn0000078,5,12,2.4
FBgn0000079,9,18,2
FBgn0000083,25,20,0.8
FBgn0000084,2,1,0.5
FBgn0000097,29,23,0.7931034482758621
FBgn0000100,102,96,0.9411764705882353
FBgn0000108,5,5,1
FBgn0000109,4,2,0.5
FBgn0000114,125,118,0.944
FBgn0000115,9,10,1.1111111111111112
FBgn0000116,124,113,0.9112903225806451
FBgn0000117,47,44,0.9361702127659575
FBgn0000119,3,3,1
FBgn0000139,3,3,1
FBgn0000140,47,44,0.9361702127659575
FBgn0000146,25,23,0.92
FBgn0000147,3,3,1
FBgn0000150,86,80,0.9302325581395349
FBgn0000153,5,5,1
FBgn0000158,2,2,1
FBgn0000163,12,10,0.8333333333333334
FBgn0000166,13,14,1.0769230769230769
FBgn0000173,13,11,0.8461538461538461
FBgn0000179,1,1,1
FBgn0000181,101,91,0.900990099009901
FBgn0000183,37,35,0.9459459459459459
FBgn0000212,21,20,0.9523809523809523
FBgn0000228,22,22,1
FBgn0000229,1,1,1
FBgn0000239,38,35,0.9210526315789473
FBgn0000241,2,2,1
FBgn0000244,12,9,0.75
FBgn0000246,4,3,0.75
FBgn0000247,19,14,0.7368421052631579
FBgn0000250,43,32,0.7441860465116279
FBgn0000251,28,23,0.8214285714285714
FBgn0000253,98,72,0.7346938775510204
FBgn0000256,5,3,0.6
FBgn0000257,1,1,1
FBgn0000259,42,37,0.8809523809523809
FBgn0000261,36,36,1
FBgn0000273,49,43,0.8775510204081632
FBgn0000283,39,38,0.9743589743589743
FBgn0000286,24,23,0.9583333333333334
FBgn0000289,54,51,0.9444444444444444
FBgn0000299,21,20,0.9523809523809523
FBgn0000303,2,2,1
FBgn0000307,26,24,0.9230769230769231
FBgn0000308,82,80,0.975609756097561
FBgn0000316,13,12,0.9230769230769231
FBgn0000317,21,17,0.8095238095238095
FBgn0000318,20,19,0.95
FBgn0000319,82,78,0.9512195121951219
FBgn0000320,5,4,0.8
FBgn0000326,5,3,0.6
FBgn0000330,3,3,1
FBgn0000337,1,1,1
FBgn0000339,8,7,0.875
FBgn0000346,2,2,1
FBgn0000351,9,9,1
FBgn0000352,4,3,0.75
FBgn0000355,113,103,0.911504424778761
FBgn0000356,106,65,0.6132075471698113
FBgn0000357,390,344,0.882051282051282
FBgn0000358,222,210,0.9459459459459459
FBgn0000359,191,167,0.8743455497382199
FBgn0000360,497,449,0.903420523138833
FBgn0000370,8,7,0.875
FBgn0000376,22,17,0.7727272727272727
FBgn0000377,11,8,0.7272727272727273
FBgn0000382,33,32,0.9696969696969697
FBgn0000384,5,6,1.2
FBgn0000394,3,3,1
FBgn0000404,115,95,0.8260869565217391
FBgn0000405,127,120,0.9448818897637795
FBgn0000406,16,14,0.875
FBgn0000411,2,2,1
FBgn0000412,16,12,0.75
FBgn0000414,17,13,0.7647058823529411
FBgn0000416,167,163,0.9760479041916168
FBgn0000422,2,1,0.5
FBgn0000426,4,4,1
FBgn0000427,129,100,0.7751937984496124
FBgn0000442,2,2,1
FBgn0000447,5,5,1
FBgn0000451,1,1,1
FBgn0000454,69,66,0.9565217391304348
FBgn0000455,7,7,1
FBgn0000459,2,2,1
FBgn0000463,14,13,0.9285714285714286
FBgn0000464,1,1,1
FBgn0000473,2,2,1
FBgn0000477,2,2,1
FBgn0000479,15,11,0.7333333333333333
FBgn0000482,9,7,0.7777777777777778
FBgn0000489,10,10,1
FBgn0000490,3,3,1
FBgn0000499,1,1,1
FBgn0000504,9,9,1
FBgn0000524,40,38,0.95
FBgn0000527,2,2,1
FBgn0000533,1,1,1
FBgn0000535,7,6,0.8571428571428571
FBgn0000536,12,11,0.9166666666666666
FBgn0000541,124,118,0.9516129032258065
FBgn0000542,5,5,1
FBgn0000543,3,3,1
FBgn0000546,13,13,1
FBgn0000547,36,34,0.9444444444444444
FBgn0000557,4,4,1
FBgn0000559,483,474,0.9813664596273292
FBgn0000562,31,27,0.8709677419354839
FBgn0000565,4,2,0.5
FBgn0000566,11,8,0.7272727272727273
FBgn0000567,8,8,1
FBgn0000568,39,33,0.8461538461538461
FBgn0000575,16,16,1
FBgn0000578,19,16,0.8421052631578947
FBgn0000579,73,66,0.9041095890410958
FBgn0000581,55,45,0.8181818181818182
FBgn0000588,7,6,0.8571428571428571
FBgn0000592,3,3,1
FBgn0000594,1,1,1
FBgn0000611,8,9,1.125
FBgn0000615,36,34,0.9444444444444444
FBgn0000617,5,5,1
